UniqueSite,Site_Lat,Site_Long,ReefCluster,Larger,Biomass_above20cm,Protection,DepthCategory,CleanHabitat,CensusMethod,Total_sampling_area,Regional_population_growth,Ocean_prod,Climate_stress,HDI,Larger_pop_size,Reef_fish_landings_per_km2,MPAage3,NTZarea,Geographic_Basin,Biomass...some.families,Local,Atoll,Gini_lastdata,EPI_2018,GDP,Control_corruption,Rule_of_law,Sedimentation,Annual_tourist_number,Locality,gravtot5001,gravtot5002,gravtot5003,Trait_diversity,Scraping_potential,MPAage
295,-1.203883333,129.9383667,RC_26,Indonesia,1062.09422,Restricted,4-10m,Slope,Standard belt transect,750,24.37835054,0.384,0.83718567,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,1122.726663,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.533002201,3788,Indonesia,3280.900601,14.45106782,5.853104589,3.30532968,125.8871082,0
296,1.48541817,125.2412701,RC_27,Indonesia,335.5618258,Fished,4-10m,Slope,Standard belt transect,750,8.642832227,0.194,0.847911218,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,394.6462802,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.29767954,3788,Indonesia,18844.40939,556.8100446,382.4549925,3.646771681,83.94742185,0
297,2.27679,118.60755,RC_28,Indonesia,193.2787876,Restricted,0-4m,Crest,Standard belt transect,750,21.21724409,0.351,0.776453224,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,313.7276019,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.524525635,3788,NA,8518.60938,7.666286654,0.012002676,1.886192831,542.6766105,0
299,2.25515,118.28418,RC_29,Indonesia,266.0782389,Restricted,0-4m,Crest,Standard belt transect,750,21.21595523,0.441,0.793600694,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,373.2303488,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.621773276,3788,NA,8542.449031,7.928101153,0.010969724,2.55691243,144.6333629,0
300,2.40313,96.31345,RC_30,Indonesia,4.476351122,Fished,0-4m,Crest,Standard belt transect,750,9.822104247,0.192,0.917460773,0.662,240676485,6.678729675,0,0,Western Indo-Pacific,32.35900193,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.226814392,3788,Indonesia,33816.94938,277.671134,77.96911773,2.077206598,25.30992939,0
301,2.38762,96.32174,RC_30,Indonesia,6.711553,Fished,0-4m,Flat,Standard belt transect,750,9.822104247,0.192,0.917460773,0.662,240676485,6.678729675,0,0,Western Indo-Pacific,81.19394297,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.226814392,3788,Indonesia,31030.41303,47.00191686,0.231351642,1.48156007,19.5347,0
302,1.52241,118.90519,RC_31,Indonesia,822.5219629,Restricted,0-4m,Crest,Standard belt transect,750,21.2103707,0.298,0.780904841,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,812.5951733,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.44960936,3788,NA,8585.661814,8.751378777,0.010173411,4.397153493,540.8778363,0
307,-5.89806,110.43379,RC_33,Indonesia,0,Restricted,0-4m,Slope,Standard belt transect,1000,5.009145945,0.329,0.829343956,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,81.3163049,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.412915994,3788,Indonesia,203435.4492,347.8085905,0.747912964,1.889114157,230.3076824,0
308,-5.89806,110.43379,RC_33,Indonesia,13.47306138,Restricted,4-10m,Slope,Standard belt transect,1000,5.009145945,0.329,0.829343956,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,38.84998889,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.412915994,3788,Indonesia,203435.4492,347.8085905,0.747912964,1.904366727,69.39704159,0
315,-5.90131,110.40563,RC_34,Indonesia,71.30238393,Restricted,0-4m,Slope,Standard belt transect,1000,5.009541923,0.33,0.829838745,0.662,240676485,6.678729675,0,0,Central Indo-Pacific,108.3350926,Indonesia,0,39.5,46.92,4923,-0.74,-0.64,0.40949327,3788,Indonesia,202686.141,344.399259,0.660755983,1.926722368,83.21810987,0
